param,value,model,record,f1,precision,recall,tp,fp,fn,threshold_updates
margin,0.05,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
margin,0.05,Float32,103,0.0,0.0,0.0,0,0,2,203
margin,0.05,Float32,105,0.43055555555555547,0.30097087378640774,0.7560975609756098,31,72,10,251
margin,0.05,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.05,Float32,113,0.2380952380952381,0.1388888888888889,0.8333333333333334,5,31,1,174
margin,0.05,Float32,117,0.0,0.0,0.0,0,230,1,148
margin,0.05,Float32,121,0.07142857142857144,0.038461538461538464,0.5,1,25,1,181
margin,0.05,Float32,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.05,Float32,200,0.978698224852071,0.9904191616766467,0.9672514619883041,827,8,28,254
margin,0.05,Float32,202,0.7088607594936708,0.6666666666666666,0.7567567567567568,56,28,18,208
margin,0.05,Float32,210,0.8596491228070176,0.8200836820083682,0.9032258064516129,196,43,21,258
margin,0.05,Float32,212,0.0,0.0,0.0,0,0,0,269
margin,0.05,Float32,213,0.8566433566433567,0.7561728395061729,0.9879032258064516,245,79,3,283
margin,0.05,Float32,214,0.7598784194528876,0.6218905472636815,0.9765625,250,152,6,220
margin,0.05,Float32,219,0.24901185770750994,0.14482758620689656,0.8873239436619719,63,372,8,210
margin,0.05,Float32,221,0.9789864029666254,0.9588377723970944,1.0,396,17,0,237
margin,0.05,Float32,222,0.48979591836734687,0.37994722955145116,0.6889952153110048,144,235,65,243
margin,0.05,Float32,228,0.9702702702702702,0.9573333333333334,0.9835616438356164,359,16,6,200
margin,0.05,Float32,231,0.15384615384615383,0.08695652173913043,0.6666666666666666,2,21,1,151
margin,0.05,Float32,232,0.04871626069782752,0.27007299270072993,0.026772793053545588,37,100,1345,173
margin,0.05,Float32,233,0.8844720496894408,0.9210866752910737,0.8506571087216248,712,61,125,301
margin,0.05,Float32,234,0.3076923076923077,0.8333333333333334,0.18867924528301888,10,2,43,270
margin,0.1,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
margin,0.1,Float32,103,0.0,0.0,0.0,0,0,2,203
margin,0.1,Float32,105,0.43165467625899284,0.30612244897959184,0.7317073170731707,30,68,11,251
margin,0.1,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.1,Float32,113,0.2380952380952381,0.1388888888888889,0.8333333333333334,5,31,1,174
margin,0.1,Float32,117,0.0,0.0,0.0,0,73,1,148
margin,0.1,Float32,121,0.07142857142857144,0.038461538461538464,0.5,1,25,1,181
margin,0.1,Float32,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.1,Float32,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
margin,0.1,Float32,202,0.7133757961783439,0.6746987951807228,0.7567567567567568,56,27,18,208
margin,0.1,Float32,210,0.8596491228070176,0.8200836820083682,0.9032258064516129,196,43,21,258
margin,0.1,Float32,212,0.0,0.0,0.0,0,0,0,269
margin,0.1,Float32,213,0.9104477611940298,0.8472222222222222,0.9838709677419355,244,44,4,283
margin,0.1,Float32,214,0.7898089171974522,0.6666666666666666,0.96875,248,124,8,220
margin,0.1,Float32,219,0.25352112676056343,0.14788732394366197,0.8873239436619719,63,363,8,210
margin,0.1,Float32,221,0.9789864029666254,0.9588377723970944,1.0,396,17,0,237
margin,0.1,Float32,222,0.49056603773584906,0.40498442367601245,0.6220095693779905,130,191,79,243
margin,0.1,Float32,228,0.9702702702702702,0.9573333333333334,0.9835616438356164,359,16,6,200
margin,0.1,Float32,231,0.16,0.09090909090909091,0.6666666666666666,2,20,1,151
margin,0.1,Float32,232,0.03604806408544726,0.23275862068965517,0.019536903039073805,27,89,1355,173
margin,0.1,Float32,233,0.8914141414141413,0.9451137884872824,0.8434886499402628,706,41,131,301
margin,0.1,Float32,234,0.3076923076923077,0.8333333333333334,0.18867924528301888,10,2,43,270
margin,0.15,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
margin,0.15,Float32,103,0.0,0.0,0.0,0,0,2,203
margin,0.15,Float32,105,0.4444444444444444,0.3191489361702128,0.7317073170731707,30,64,11,251
margin,0.15,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.15,Float32,113,0.2380952380952381,0.1388888888888889,0.8333333333333334,5,31,1,174
margin,0.15,Float32,117,0.0,0.0,0.0,0,41,1,148
margin,0.15,Float32,121,0.07407407407407407,0.04,0.5,1,24,1,181
margin,0.15,Float32,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.15,Float32,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
margin,0.15,Float32,202,0.7179487179487181,0.6829268292682927,0.7567567567567568,56,26,18,208
margin,0.15,Float32,210,0.8634361233480177,0.8270042194092827,0.9032258064516129,196,41,21,258
margin,0.15,Float32,212,0.0,0.0,0.0,0,0,0,269
margin,0.15,Float32,213,0.9384615384615386,0.8970588235294118,0.9838709677419355,244,28,4,283
margin,0.15,Float32,214,0.8296795952782462,0.7299703264094956,0.9609375,246,91,10,220
margin,0.15,Float32,219,0.26359832635983266,0.1547911547911548,0.8873239436619719,63,344,8,210
margin,0.15,Float32,221,0.9789864029666254,0.9588377723970944,1.0,396,17,0,237
margin,0.15,Float32,222,0.4810126582278481,0.43018867924528303,0.5454545454545454,114,151,95,243
margin,0.15,Float32,228,0.9715832205683356,0.9598930481283422,0.9835616438356164,359,15,6,200
margin,0.15,Float32,231,0.16,0.09090909090909091,0.6666666666666666,2,20,1,151
margin,0.15,Float32,232,0.03225806451612903,0.22641509433962265,0.017366136034732273,24,82,1358,173
margin,0.15,Float32,233,0.8837209302325582,0.9620253164556962,0.8172043010752689,684,27,153,301
margin,0.15,Float32,234,0.3076923076923077,0.8333333333333334,0.18867924528301888,10,2,43,270
margin,0.2,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
margin,0.2,Float32,103,0.0,0.0,0.0,0,0,2,203
margin,0.2,Float32,105,0.43609022556390975,0.31521739130434784,0.7073170731707317,29,63,12,251
margin,0.2,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.2,Float32,113,0.2439024390243902,0.14285714285714285,0.8333333333333334,5,30,1,174
margin,0.2,Float32,117,0.0,0.0,0.0,0,39,1,148
margin,0.2,Float32,121,0.07407407407407407,0.04,0.5,1,24,1,181
margin,0.2,Float32,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.2,Float32,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
margin,0.2,Float32,202,0.7272727272727273,0.7,0.7567567567567568,56,24,18,208
margin,0.2,Float32,210,0.8634361233480177,0.8270042194092827,0.9032258064516129,196,41,21,258
