model,param,value,records,tp,fp,fn,mean_f1,mean_precision,mean_recall,mean_threshold_updates,pooled_precision,pooled_recall,pooled_f1
Float32,admit_ceil,0.95,22,3245,774,1811,0.503167588509944,0.507333955583559,0.6597414809582974,218.5909090909091,0.8074147797959691,0.6418117088607594,0.7151515151515151
Float32,admit_ceil,0.9,22,3260,895,1796,0.49906901130237385,0.4970867598816724,0.6618369432636508,218.5909090909091,0.7845968712394705,0.6447784810126582,0.707849310606883
Float32,admit_ceil,0.85,22,3292,1026,1764,0.49847278920455146,0.49105840899735437,0.6687085763347501,218.5909090909091,0.762389995368226,0.6511075949367089,0.7023682526136121
Float32,buffer_size,300.0,22,3291,1016,1765,0.49710968536357475,0.4898714239589955,0.6688904273958018,218.5909090909091,0.7641049454376596,0.6509098101265823,0.7029798141621275
Float32,buffer_size,200.0,22,3289,1015,1767,0.49770820698907126,0.490047149306872,0.6681163205916317,218.5909090909091,0.7641728624535316,0.6505142405063291,0.7027777777777777
Float32,buffer_size,150.0,22,3292,1026,1764,0.49847278920455146,0.49105840899735437,0.6687085763347501,218.5909090909091,0.762389995368226,0.6511075949367089,0.7023682526136121
Float32,ceil,0.99,22,3291,1005,1765,0.4984399902661437,0.49105597783963706,0.6686542698288306,218.5909090909091,0.7660614525139665,0.6509098101265823,0.7038066723695467
Float32,ceil,0.95,22,3292,1026,1764,0.49847278920455146,0.49105840899735437,0.6687085763347501,218.5909090909091,0.762389995368226,0.6511075949367089,0.7023682526136121
Float32,ceil,0.9,22,3297,1159,1759,0.49884716267755924,0.4911194164181063,0.669632826294345,218.5909090909091,0.7399012567324955,0.6520965189873418,0.6932296047098402
Float32,floor,0.6,22,3260,895,1796,0.5319546088128722,0.5297874143523168,0.6543387131132916,218.5909090909091,0.7845968712394705,0.6447784810126582,0.707849310606883
Float32,floor,0.5,22,3277,965,1779,0.5037102068362651,0.4988571492027253,0.6608758689580913,218.5909090909091,0.7725129655822726,0.6481408227848101,0.7048827704882771
Float32,floor,0.4,22,3292,1026,1764,0.49847278920455146,0.49105840899735437,0.6687085763347501,218.5909090909091,0.762389995368226,0.6511075949367089,0.7023682526136121
Float32,margin,0.3,22,3210,722,1846,0.5075290157253062,0.5148013006215502,0.6548467459082907,218.5909090909091,0.8163784333672431,0.6348892405063291,0.7142857142857144
Float32,margin,0.25,22,3220,792,1836,0.5039994707804291,0.5079348842590163,0.6582432548747396,218.5909090909091,0.80259222333001,0.6368670886075949,0.7101896779885312
Float32,margin,0.2,22,3256,886,1800,0.5014084795291577,0.5005891181024451,0.6619324769065954,218.5909090909091,0.7860936745533559,0.6439873417721519,0.7079799956512285
Float32,update_freq,1.0,22,3292,1010,1764,0.5002502264226163,0.493050934467901,0.6685453969772506,2189.2727272727275,0.7652254765225477,0.6511075949367089,0.7035691387048515
Float32,update_freq,5.0,22,3292,1017,1764,0.49892831285832334,0.49151447149956645,0.6685453969772506,437.59090909090907,0.763982362497099,0.6511075949367089,0.7030432461292045
Float32,update_freq,10.0,22,3292,1026,1764,0.49847278920455146,0.49105840899735437,0.6687085763347501,218.5909090909091,0.762389995368226,0.6511075949367089,0.7023682526136121
Float32,warmup_length,50.0,22,3292,1026,1764,0.49847278920455146,0.49105840899735437,0.6687085763347501,218.5909090909091,0.762389995368226,0.6511075949367089,0.7023682526136121
Float32,warmup_length,20.0,22,3294,1030,1762,0.4985521646339789,0.4908949081797607,0.6694030877062264,220.4090909090909,0.7617946345975948,0.651503164556962,0.7023454157782516
Float32,warmup_length,30.0,22,3294,1030,1762,0.4985521646339789,0.4908949081797607,0.6694030877062264,220.4090909090909,0.7617946345975948,0.651503164556962,0.7023454157782516
INT8,admit_ceil,0.95,22,3244,746,1812,0.5028742724523101,0.5088880172371465,0.6565234832406439,218.5909090909091,0.8130325814536341,0.6416139240506329,0.7172230820252046
